Width,step,V(drain),V(gate),V(source),V(body),I(Vd),I(Vg),I(Vs),I(Vb)
1w,0.01,-0.01,0.0,0.0,0.0,1.705992e-10,-1.12183e-12,-1.69477e-10,3.023908e-20
1w,0.02,-0.02,0.0,0.0,0.0,3.081513e-10,-2.4006e-12,-3.05751e-10,8.040501e-21
1w,0.03,-0.03,0.0,0.0,0.0,4.150391e-10,-3.84108e-12,-4.11198e-10,-1.82489e-20
1w,0.04,-0.04,0.0,0.0,0.0,4.958883e-10,-5.44817e-12,-4.9044e-10,-5.07698e-20
1w,0.05,-0.05,0.0,0.0,0.0,5.57017e-10,-7.22684e-12,-5.4979e-10,-9.06292e-20
1w,0.06,-0.06,0.0,0.0,0.0,6.048695e-10,-9.18217e-12,-5.95687e-10,-1.37938e-19
1w,0.07,-0.07,0.0,0.0,0.0,6.445977e-10,-1.13194e-11,-6.33278e-10,-1.92225e-19
1w,0.08,-0.08,0.0,0.0,0.0,6.796701e-10,-1.36437e-11,-6.66026e-10,-2.52897e-19
1w,0.09,-0.09,0.0,0.0,0.0,7.122137e-10,-1.61606e-11,-6.96053e-10,-3.19483e-19
1w,0.1,-0.1,0.0,0.0,0.0,7.434931e-10,-1.88756e-11,-7.24618e-10,-3.91686e-19
1w,0.11,-0.11,0.0,0.0,0.0,7.742679e-10,-2.17942e-11,-7.52474e-10,-4.69358e-19
1w,0.12,-0.12,0.0,0.0,0.0,8.050089e-10,-2.49223e-11,-7.80087e-10,-5.52459e-19
1w,0.13,-0.13,0.0,0.0,0.0,8.36021e-10,-2.82657e-11,-8.07755e-10,-6.41026e-19
1w,0.14,-0.14,0.0,0.0,0.0,8.675113e-10,-3.18304e-11,-8.35681e-10,-7.35151e-19
1w,0.15,-0.15,0.0,0.0,0.0,8.996279e-10,-3.56225e-11,-8.64005e-10,-8.34962e-19
1w,0.16,-0.16,0.0,0.0,0.0,9.324818e-10,-3.96483e-11,-8.92834e-10,-9.40621e-19
1w,0.17,-0.17,0.0,0.0,0.0,9.661605e-10,-4.3914e-11,-9.22247e-10,-1.05231e-18
1w,0.18,-0.18,0.0,0.0,0.0,1.000736e-09,-4.84262e-11,-9.5231e-10,-1.17023e-18
1w,0.19,-0.19,0.0,0.0,0.0,1.036271e-09,-5.31914e-11,-9.83079e-10,-1.29461e-18
1w,0.2,-0.2,0.0,0.0,0.0,1.072818e-09,-5.82166e-11,-1.0146e-09,-1.42567e-18
1w,0.21,-0.21,0.0,0.0,0.0,1.110429e-09,-6.35085e-11,-1.04692e-09,-1.56367e-18
1w,0.22,-0.22,0.0,0.0,0.0,1.149151e-09,-6.90741e-11,-1.08008e-09,-1.70888e-18
1w,0.23,-0.23,0.0,0.0,0.0,1.189026e-09,-7.49207e-11,-1.11411e-09,-1.86155e-18
1w,0.24,-0.24,0.0,0.0,0.0,1.230099e-09,-8.10556e-11,-1.14904e-09,-2.02199e-18
1w,0.25,-0.25,0.0,0.0,0.0,1.272412e-09,-8.74862e-11,-1.18493e-09,-2.1905e-18
1w,0.26,-0.26,0.0,0.0,0.0,1.316005e-09,-9.42202e-11,-1.22179e-09,-2.36738e-18
1w,0.27,-0.27,0.0,0.0,0.0,1.360921e-09,-1.01265e-10,-1.25966e-09,-2.55297e-18
1w,0.28,-0.28,0.0,0.0,0.0,1.407201e-09,-1.08629e-10,-1.29857e-09,-2.74759e-18
1w,0.29,-0.29,0.0,0.0,0.0,1.454886e-09,-1.1632e-10,-1.33857e-09,-2.9516e-18
1w,0.3,-0.3,0.0,0.0,0.0,1.504018e-09,-1.24347e-10,-1.37967e-09,-3.16537e-18
1w,0.31,-0.31,0.0,0.0,0.0,1.55464e-09,-1.32717e-10,-1.42192e-09,-3.38927e-18
1w,0.32,-0.32,0.0,0.0,0.0,1.606795e-09,-1.4144e-10,-1.46535e-09,-3.6237e-18
1w,0.33,-0.33,0.0,0.0,0.0,1.660526e-09,-1.50523e-10,-1.51e-09,-3.86905e-18
1w,0.34,-0.34,0.0,0.0,0.0,1.715878e-09,-1.59977e-10,-1.5559e-09,-4.12575e-18
1w,0.35,-0.35,0.0,0.0,0.0,1.772896e-09,-1.69809e-10,-1.60309e-09,-4.39424e-18
1w,0.36,-0.36,0.0,0.0,0.0,1.831626e-09,-1.8003e-10,-1.6516e-09,-4.67495e-18
1w,0.37,-0.37,0.0,0.0,0.0,1.892115e-09,-1.90649e-10,-1.70147e-09,-4.96836e-18
1w,0.38,-0.38,0.0,0.0,0.0,1.954411e-09,-2.01675e-10,-1.75274e-09,-5.27494e-18
1w,0.39,-0.39,0.0,0.0,0.0,2.018563e-09,-2.13118e-10,-1.80545e-09,-5.5952e-18
1w,0.4,-0.4,0.0,0.0,0.0,2.084621e-09,-2.24988e-10,-1.85963e-09,-5.92964e-18
1w,0.41,-0.41,0.0,0.0,0.0,2.152636e-09,-2.37295e-10,-1.91534e-09,-6.27881e-18
1w,0.42,-0.42,0.0,0.0,0.0,2.222661e-09,-2.5005e-10,-1.97261e-09,-6.64324e-18
1w,0.43,-0.43,0.0,0.0,0.0,2.294748e-09,-2.63264e-10,-2.03148e-09,-7.0235e-18
